245 14400 8000 4
175 213600 25551.5 141 109
101 17050 -0 63 48
5 8125 -0 27 21
4 2425 -0 45 35
-1 0 -0 147 113
3 4325 -0 266 205
108 19025 -0 40 31
68 15475 -0 106 81
197 23125 3276.48 458 352
13 21650 -0 26 20
171 20650 1519.48 15 12
211 161375 12447.1 91 70
144 19700 -0 302 232
6 20100 -0 33 26
202 24700 800.487 331 254
3 5125 -0 121 93
114 4600 -0 110 85
240 22625 -0 50 38
220 17875 -0 20 16
16 8325 -0 8 6
11 162025 338.89 39 30
208 25225 -0 35 27
208 25225 -0 35 27
35 10250 -0 85 66
136 10700 -0 112 86
17 24725 -0 271 208
159 30025 -0 76 59
150 29875 1317.74 63 49
172 32775 -0 61 47
150 29875 -0 38 30
19 9500 322.146 99 76
19 9500 2191.7 48 37
16 8325 -0 98 76
177 21650 -0 15 12
197 17000 -0 82 64
2 9225 -0 36 27
192 21950 142.159 182 140
117 20150 -0 57 44
40 19175 -0 54 42
46 26325 -0 50 38
216 17850 -0 65 50
117 20150 -0 87 67
203 11700 -0 54 42
244 17025 -0 67 51
105 26000 -0 30 23
216 16650 -0 20 16
155 24975 -0 11 9
157 20750 -0 12 9
49 13600 16549.9 182 140
209 9375 -0 46 35
51 164575 2650.73 124 96
11 162725 -0 117 90
81 17525 -0 20 16
105 26000 -0 30 23
32 11475 651.871 53 41
184 13550 -0 35 27
203 11700 -0 30 23
187 20300 -0 36 28
59 5800 -0 93 72
4 2425 -0 117 90
222 21925 -0 11 9
23 12125 -0 0 0
244 16300 -0 30 23
211 156475 6178.33 167 129
213 50050 19377.4 113 87
80 215875 1783.19 48 37
166 31700 1850.06 325 250
28 34975 1009.88 97 75
228 13425 -0 36 28
234 26625 -0 229 176
238 27600 1331.37 436 335
132 129875 18043.8 50 38
68 15925 -0 36 28
211 156475 7953.49 273 210
132 125850 15352.9 20 16
213 50050 2741.46 122 94
197 21550 992.25 37 29
151 27900 -0 0 0
187 20300 -0 30 23
163 5625 -0 0 0
174 209925 -0 63 49
101 17050 -0 20 16
201 14175 -0 33 26
163 5625 -0 153 118
105 26000 -0 28 21
131 23775 -0 52 40
221 32925 635.906 72 55
138 24925 38.7296 88 68
199 23275 -0 13 10
4 2425 -0 22 17
241 21425 -0 139 107
111 27150 1338.75 108 83
212 20675 -0 23 17
45 17475 -0 32 24
123 29050 5936.01 77 59
3 5125 -0 233 179
213 19750 2740.64 14 11
47 23100 -0 75 58
199 23275 -0 121 93
46 26325 -0 170 130
50 167725 17608.5 152 117
193 14275 -0 81 63
107 24625 -0 53 41
58 7650 -0 49 38
46 26325 -0 95 73
60 24325 -0 23 18
177 20200 -0 20 16
47 23100 -0 12 9
197 18525 522.324 26 20
177 23775 3851.37 33 26
72 17475 -0 30 23
7 19425 -0 45 35
151 27900 -0 0 0
127 29025 3065.42 233 179
89 3175 -0 30 23
209 9375 2101.84 132 101
188 18775 -0 65 50
196 19150 -0 19 15
83 8825 -0 33 26
10 21375 -0 38 30
219 21200 -0 16 12
47 23100 -0 18 14
164 25825 334.155 38 30
69 28575 -0 55 43
134 29975 7629.47 25 19
56 12450 -0 371 286
195 16725 -0 39 30
161 28425 -0 95 73
20 163125 2880.86 69 53
15 7325 -0 12 9
134 29975 1010.87 78 60
116 21900 -0 34 26
213 71725 18043.8 110 85
139 12975 -0 47 36
215 27875 -0 40 31
84 27950 -0 94 72
15 7325 -0 100 77
193 14275 -0 20 16
144 19700 -0 50 38
179 10500 -0 59 46
213 26450 1468.4 304 234
232 164375 -0 93 71
196 18025 245.813 28 21
155 24975 -0 42 32
177 18700 -0 13 10
54 13425 -0 588 452
110 19500 -0 30 23
24 12900 -0 108 83
222 21925 -0 60 46
57 21650 2206.39 36 28
238 27600 -0 57 44
234 26625 -0 0 0
98 27775 5691.86 57 44
44 26875 -0 65 50
76 22975 -0 20 16
41 23925 -0 28 21
37 22000 1539.08 25 19
40 19175 -0 49 38
36 28000 -0 0 0
217 28700 -0 230 177
124 31650 3008.91 59 45
112 28200 -0 45 34
32 11475 -0 402 309
114 4600 -0 28 21
88 24175 -0 67 52
114 4600 -0 66 51
183 26450 -0 183 141
230 23500 -0 59 45
78 21450 4303.12 23 18
165 7850 1904.22 118 91
89 3175 -0 61 47
197 20100 -0 28 22
159 30025 -0 50 38
54 13425 -0 0 0
229 205975 -0 310 238
174 209925 -0 76 59
43 19450 -0 20 16
244 17025 -0 23 17
154 23525 -0 23 17
2 9225 -0 49 38
60 23200 -0 204 157
225 19525 -0 117 90
226 218450 7406.74 127 98
88 24175 -0 51 39
56 12450 -0 33 26
118 10600 -0 242 186
220 17400 -0 119 92
196 19150 -0 30 23
137 16050 -0 194 149
30 13025 927.033 66 51
72 17475 245.438 101 77
195 16725 801.23 35 27
7 19350 -0 14 11
118 10600 -0 154 118
184 13550 -0 23 17
23 12125 -0 66 51
201 14175 -0 46 36
30 13025 -0 112 86
230 23400 -0 84 65
116 21900 -0 55 42
201 14175 -0 154 118
184 13550 -0 28 22
210 23700 -0 23 17
179 10500 -0 55 43
162 14325 -0 113 87
111 23250 2913.13 930 715
72 19550 -0 148 113
83 8825 -0 607 467
138 22250 -0 97 75
165 7850 979.723 38 30
33 23175 -0 20 16
232 151775 1569.37 19 15
18 19550 -0 23 17
136 10050 -0 33 26
232 164375 -0 518 398
167 25300 -0 40 31
139 12975 -0 90 69
183 26450 -0 70 54
190 18975 -0 57 44
72 18675 -0 43 33
145 16275 -0 243 187
159 31300 2025.89 30 23
110 19500 -0 37 29
215 27875 -0 83 64
121 24675 -0 18 14
81 18675 -0 35 27
229 215650 -0 126 97
49 13600 214.2 214 165
213 12775 -0 13 10
50 168425 7676.89 41 32
233 20850 -0 78 60
241 21425 -0 20 16
74 144275 10064.1 52 40
125 19825 -0 23 18
138 24925 -0 230 177
44 26875 -0 13 10
243 22200 -0 33 26
17 24725 -0 78 60
237 26675 -0 28 21
5 8125 -0 55 43
188 18775 -0 129 99
18 19550 -0 23 17
219 21200 -0 27 21
157 20750 -0 26 20
162 14325 -0 43 33

Temps: 0.06 seconds
Valeur OPT: 60263.3
