174 120 100 89
153 31550 3641.08 1 1
4 26800 3099.48 9 7
24 25525 3090.6 2 2
2 26625 -0 3 2
8 23725 3075.94 5 4
9 33000 7511.82 3 2
3 28425 -0 3 3
4 26800 3534.5 5 4
25 21125 900.274 4 3
161 31875 -0 2 2
6 30275 1332.71 3 2
25 21125 2169.7 4 3
14 20700 185.445 2 1
14 20700 1587.09 3 3
15 19425 1287.62 2 2
31 18775 2488.53 1 1
140 29475 1732.78 3 2
140 29475 -0 2 2
3 28425 3018.06 9 7
34 29350 1097.12 3 2
12 21450 1587.09 2 2
27 26725 847.855 1 1
21 27375 1431.44 1 1
27 26725 20.8808 1 1
157 17850 4464.33 12 9
30 17150 2671.6 6 5
30 17150 1787.84 3 2
38 24450 -0 4 3
29 29450 5807.63 9 7
23 27400 -0 3 3
32 14575 1216.24 4 3
32 14575 529.695 7 5
46 14025 -0 1 1
37 15150 1037.03 3 2
131 24775 2938.78 7 6
29 29450 -0 4 3
51 13250 -0 3 2
47 14575 1050.38 1 1
40 22525 159.237 3 3
40 22525 4059.82 13 10
49 22075 -0 1 1
58 11450 2552.64 7 5
172 25775 2886.59 5 4
58 11450 2043.72 3 2
62 12075 -0 1 1
62 12075 301.336 2 2
67 11475 2087.61 4 3
67 11475 -0 5 4
35 32000 3214.04 3 2
66 19800 1708.69 4 3
66 19800 1865.58 9 7
68 10150 1805.73 5 4
44 12600 2304.93 4 3
54 29625 2772.16 2 2
55 27925 -0 3 2
56 24475 2312.61 5 4
49 22075 -0 4 3
61 11850 5705.98 4 3
76 8550 2085.83 5 4
47 14575 6151.7 8 6
76 8550 405.182 2 2
60 9650 -0 4 3
74 8450 2586.78 6 5
74 8450 905.893 3 3
61 11850 1214.42 3 3
56 24475 2536.64 4 3
167 15600 2760.35 7 5
69 6500 2817.58 8 6
75 5800 2404.64 7 5
75 5800 1573.01 2 1
71 8550 2000.12 5 4
78 8475 629.803 1 1
73 24525 3039.89 2 2
66 19800 4745.41 7 6
84 5250 2045.33 5 4
84 5250 171.005 1 1
83 3825 2493.12 7 6
83 3825 1809.02 2 2
173 7075 1916.81 3 2
84 5250 653.955 2 2
163 11975 -0 2 2
69 6500 1420.52 3 3
79 6450 1169.79 3 2
85 1625 1300.93 4 3
85 1625 2186.09 6 5
88 975 453.563 1 1
79 6450 1004.77 2 2
89 375 800.788 2 2
89 375 303.547 1 1
-1 0 496.985 1 1
89 375 749.825 2 1
163 11975 2083.48 5 4
97 7425 1595.84 3 2
94 3725 1780.19 3 2
90 1125 1449.13 4 3
89 375 998.518 2 2
88 975 906.084 3 3
99 5700 1302.75 3 2
96 2950 1177.72 3 3
98 4975 278.858 2 1
98 4975 635.171 2 1
99 5700 773.599 2 2
132 7250 1209.21 3 2
90 1125 1758.73 5 4
103 3975 1590.76 4 4
103 3975 982.233 2 1
109 7075 4472.06 11 8
100 5725 1159.89 3 2
107 7275 1639.55 4 3
110 6650 -0 1 1
94 3725 1659.89 5 4
109 7075 3189.13 7 5
105 4875 1241.48 3 2
112 6675 1548.12 4 3
136 7550 1252.7 3 2
110 6650 303.547 1 1
105 4875 1737.74 5 4
147 7650 -0 1 1
107 7275 624.648 2 1
112 6675 1208.85 3 2
118 8125 947.255 2 2
120 9175 531.036 1 1
114 9175 878.656 2 1
118 8125 759.949 2 2
120 9175 1122.78 2 2
117 8175 2387.02 4 3
121 9750 808.034 2 1
119 8200 1288.23 3 2
123 9175 1334.49 2 1
127 9750 1730.65 4 3
126 10550 1628.72 3 2
157 17850 3310.53 10 8
101 6925 310.945 1 1
132 7250 516.116 1 1
133 7550 738.121 1 1
136 7550 406.083 1 1
137 7275 559.484 1 1
101 6925 259.484 1 1
80 13200 494.186 4 3
167 15600 2515.34 7 6
141 26975 -0 4 3
38 24450 2369.94 4 3
145 29800 -0 2 2
142 31000 3491.85 8 6
145 29800 1689.88 7 5
141 26975 -0 5 4
170 7450 222.856 1 1
148 7250 354.87 1 1
149 7000 623.977 1 1
115 6900 402.352 1 1
2 26625 241.609 1 1
150 26900 36.3748 2 1
154 27525 2389.55 2 2
154 27525 -0 6 5
150 26900 149.864 1 1
51 13250 273.875 2 2
155 14475 963.47 3 3
156 16300 2704.97 3 2
155 14475 792.993 2 1
158 15300 2749.58 4 3
21 27375 -0 3 3
160 29375 -0 4 3
160 29375 1145.88 1 1
164 10600 1054.4 2 2
71 8550 1105.42 3 3
167 15600 2456.29 4 3
80 13200 413.613 2 2
166 14225 301.215 2 2
171 15350 2237.02 3 2
138 15625 1422.36 2 2
115 6900 554.746 1 1
166 14225 -0 2 2
38 24450 -0 2 2
93 5175 890.969 3 3

Temps: 0.38 seconds
Valeur OPT: 42957.7
