48 15 15 42
13 3392 241 0 1
22 3347 219.631 1 1
6 3684 -0 1 1
42 2248 238.2 1 1
13 5692 141.292 1 1
47 3964 122.462 1 1
17 578 258.323 1 1
18 1757 -0 1 1
3 2857 219.631 1 1
29 2685 238.2 1 1
34 5429 354.323 1 1
32 1963 -0 1 1
32 2038 410.523 1 1
43 3055 894.523 1 1
3 3063 317.138 1 1
23 2589 -0 1 1
22 3047 -0 1 1
42 252 238.2 1 1
43 1610 -0 1 1
6 752 258.323 1 1
11 2399 238.2 1 1
29 2694 -0 1 1
32 2891 -0 1 1
11 2128 -0 1 1
47 5017 548.815 1 1
2 5578 219.631 1 1
42 504 258.323 1 1
42 1370 238.2 1 1
0 4431 122.462 1 1
42 946 258.323 1 1
42 2490 238.2 1 1
6 2981 414.046 1 1
42 923 -0 1 1
32 2014 335.369 1 1
31 4989 642.846 1 1
17 1237 -0 1 1
26 728 258.323 1 1
18 2494 -0 1 1
31 4030 219.631 1 1
32 2649 238.2 1 1
22 3783 238.2 1 1
23 5986 1529.74 1 1
-1 0 218.077 1 1
6 1449 258.323 1 1
24 6009 219.631 1 1
26 1236 125.2 1 1
11 2395 238.2 1 1
32 3764 103.692 1 0

Temps: 25.39 seconds
Valeur OPT: 1553.02
