31 140 140 17
20 32 -0 0 6
17 50 39.9193 24 11
17 16 49.7705 34 80
-1 28 28 11 8
17 18 11.3761 15 5
17 36 19.5273 11 17
20 28 36.3943 1 60
17 18 12.3955 3 25
2 20 21.5898 29 1
13 14 16.6341 6 28
0 38 39.0045 25 39
17 32 7.18864 6 3
7 29 30.9545 25 35
17 10 18.3409 2 0
17 9 24.7409 28 29
2 22 6.89205 8 25
13 19 8.40341 10 34
-1 0 -0 18 24
16 37 21.1091 45 2
16 26 46.5807 33 45
4 23 7 17 33
13 33 4.23864 9 6
4 25 12.3955 16 11
9 41 10 35 18
-1 26 26 5 123
14 20 39.1591 60 10
-1 23 23 80 95
14 30 29.9852 39 16
17 32 66.6739 95 9
-1 42 42 90 90
-1 31 31 123 15

Temps: 0.00 seconds
Valeur OPT: 110.524
