76 140 140 27
67 23 2.41914 0 8
68 49 0.566156 18 12
30 36 6.75553 26 28
17 43 7.7332 11 37
27 13 6.59438 30 15
29 23 4.1702 21 15
52 33 2.45396 19 6
46 26 4.19216 15 17
52 24 5.01352 16 16
40 57 8.06307 29 28
75 55 3.23246 26 13
53 48 0.182258 37 12
17 42 4.00646 16 12
27 17 5.01423 12 18
34 41 10.8396 31 20
29 24 3.08553 8 20
52 48 3.23162 19 10
27 28 4.19615 20 26
17 66 12.8664 13 27
27 36 8.9613 15 19
27 30 9.64822 22 26
29 34 4.45355 28 24
74 43 -0 12 0
52 56 0.00597875 6 19
67 74 15.4452 27 27
32 56 6.19948 14 19
67 34 4.19615 18 22
-1 0 1.14061 17 22
74 33 11.4308 29 21
27 11 5.53585 13 19
29 20 3.43464 22 5
7 63 -0 25 17
17 44 4.357 28 16
6 43 3.44691 27 13
52 16 3.98214 19 13
46 32 0.00554388 10 28
5 37 2.14522 12 14
5 30 3.82465 14 18
27 55 4.68145 24 16
40 54 0.407903 16 3
17 36 7.73327 33 37
43 54 7.22701 15 9
22 57 4.22622 11 29
74 47 0.0704735 18 18
3 49 0.0307737 17 15
27 7 5.07751 21 19
52 15 6.70584 27 33
29 28 0.328882 19 10
27 20 2.26313 20 10
3 54 8.50344 5 29
32 63 7.23823 22 25
67 36 4.60469 12 30
27 8 2.37681 19 14
45 35 2.78887 22 8
13 31 4.5165 16 11
25 74 13.0277 7 21
63 67 7.39484 26 31
15 30 4.47905 14 11
0 52 6.18272 21 16
52 50 14.4164 24 27
27 35 5.87873 13 18
29 38 0.80973 15 1
74 52 7.38601 18 11
33 49 2.05312 11 7
45 50 8.53771 28 6
52 49 2.5501 9 12
34 51 11.1564 37 22
27 14 6.17476 30 21
4 25 -0 10 14
45 45 0.297479 8 11
45 40 6.76347 11 24
60 47 10.067 3 30
12 54 0.000757467 1 26
67 45 0.160055 6 15
27 22 4.82465 10 20
4 23 -0 20 22

Temps: 0.24 seconds
Valeur OPT: 15.4452
