101 112 112 89
89 26 5.85334 0 28
69 29 2.95954 10 6
37 34 3.0979 7 14
77 43 1.56751 13 7
73 42 5.33249 19 13
59 26 0.401814 26 11
89 16 4.7772 3 29
89 29 4.36102 5 10
45 30 8.36102 9 36
1 55 3.04046 16 3
52 38 0.634747 16 3
90 52 3.06892 12 5
76 37 7.11588 19 27
94 19 3.42479 23 0
98 41 5.24869 20 9
13 43 5.54794 8 8
98 34 3.51143 19 6
93 39 4.36514 2 3
52 23 7.06837 12 23
48 46 3.46848 17 9
69 47 6.0504 9 19
73 34 3.60679 11 9
73 42 4.20902 18 3
73 45 8.3281 29 7
68 57 2.5016 3 15
55 56 4.25755 6 6
13 42 4.9018 17 14
52 26 5.46728 16 19
0 37 4.57311 16 7
77 57 3.37375 9 10
89 33 7.45953 21 16
89 38 5.49916 27 20
52 39 8.03571 23 25
50 59 6.51603 11 27
79 60 5.00994 14 16
52 60 8.94126 8 20
47 52 0.608006 5 1
59 19 2.0412 8 22
92 43 7.23822 16 8
23 56 9.69038 31 12
58 33 3.1676 9 9
6 46 2.68559 5 17
59 29 2.71493 5 12
95 39 8.80203 7 16
91 32 4.35619 18 8
89 21 6.35787 16 27
45 33 5.18293 1 21
48 44 2.9631 27 2
82 34 8.20841 36 26
-1 65 65 30 16
76 32 6.42529 13 30
69 50 3.93131 10 11
89 11 0.25532 9 18
89 26 4.18456 14 26
89 52 8.26993 18 6
73 47 2.2955 2 25
72 38 0.721089 6 18
89 30 7.05102 7 41
13 28 3.84833 18 3
89 15 4.94737 28 9
59 30 2.34794 3 11
91 34 4.0399 13 9
7 47 5.3867 19 16
89 44 4.1404 10 1
82 74 14.424 9 16
30 74 9.07863 20 20
90 55 10.337 25 26
21 63 12.5055 25 18
77 45 4.38064 36 5
89 23 6.17298 6 18
1 45 2.44751 5 5
9 66 4.06004 15 17
73 30 5.29526 25 12
89 26 2.93928 9 23
72 37 2.45101 8 19
13 44 5.26684 18 19
89 26 3.92369 13 10
76 37 3.92369 14 13
3 54 5.00994 3 18
76 46 4.1768 23 16
76 46 1.69811 6 13
76 60 4.89958 26 13
89 23 3.46848 16 9
82 34 4.36102 11 25
99 30 4.15105 7 35
37 25 6.19207 41 31
59 33 8.33572 35 5
94 24 5.03289 26 14
52 36 5.36102 9 23
-1 0 3.98974 15 9
89 36 3.37536 3 10
59 23 0.832412 1 9
59 19 0.805315 2 7
59 22 3.9159 22 11
89 14 4.20143 27 8
89 17 2.47127 20 5
89 17 4.04124 11 36
92 23 3.31345 12 17
37 21 1.4493 10 2
59 18 0.953521 9 2
37 25 4.74114 17 15

Temps: 0.07 seconds
Valeur OPT: 10.9151
