76 180 180 30
75 36 0.831529 0 25
73 30 5.66006 18 37
30 15 3.4189 26 9
33 37 5.38999 11 37
30 28 4.32641 30 14
48 33 3.10231 21 11
33 30 1.2133 19 10
27 33 1.26636 15 1
46 34 3.05643 16 19
12 50 3.977 29 15
53 66 3.41517 26 33
46 53 6.39858 37 13
30 37 5.84555 16 29
27 31 3.48933 12 21
53 56 4.5693 31 14
27 31 2.32716 8 12
30 35 2.05811 19 22
51 36 3.05238 20 15
30 50 3.39431 13 12
27 46 3.42203 15 8
29 40 3.02763 22 8
30 28 5.11065 28 20
73 36 3.62923 12 28
33 37 4.18011 6 24
49 62 9.32769 27 31
44 66 3.10953 14 19
68 38 2.99909 18 10
30 15 3.19486 17 30
74 30 1.46465 29 12
30 12 2.21709 13 18
-1 0 4.75236 22 22
12 67 9.32848 25 21
40 47 2.29832 28 13
30 18 3.14868 27 19
46 30 1.29323 19 17
27 35 1.63088 10 22
48 37 2.18628 12 13
29 33 2.27155 14 19
7 53 4.74952 24 11
33 53 2.84565 16 27
30 35 3.74093 33 16
73 45 6.85394 15 29
28 52 3.87759 11 6
33 38 6.07453 18 30
3 44 4.11438 17 26
30 19 3.20236 21 19
27 27 3.10458 27 5
74 33 4.48673 19 28
30 21 3.15182 20 16
63 49 5.21753 5 20
33 51 3.92397 22 15
30 29 2.0686 12 24
27 27 2.19879 19 11
7 48 1.12442 22 26
29 46 4.8879 16 15
39 78 8.23448 7 22
33 46 3.25346 26 20
27 32 2.4887 14 7
12 56 2.14168 21 28
30 61 9.32848 24 18
37 47 6.66841 13 18
30 43 6.32541 15 0
73 32 0.685606 18 16
33 26 4.32966 11 26
1 49 5.95353 28 27
27 56 6.80391 9 11
53 64 4.17888 37 16
45 34 3.0563 30 12
30 24 2.87745 10 17
30 46 4.49632 8 21
60 52 1.54883 11 10
60 57 1.62413 3 3
40 60 3.09945 1 18
33 24 3.28485 6 27
30 21 2.54715 10 14
30 32 2.32704 20 6

Temps: 0.25 seconds
Valeur OPT: 6.40078
