76 220 220 0
-1 0 -0 0 7
0 32 -0 18 3
68 25 684.355 26 5
6 31 -0 11 12
75 17 -0 30 20
48 47 949.653 21 18
0 13 1007.44 19 12
46 23 285.211 15 10
75 23 1112.06 16 33
0 30 1691.74 29 15
72 45 1699.74 26 25
46 59 103.866 37 14
17 29 -0 16 13
27 35 2532.49 12 27
35 39 727.109 31 19
57 40 -0 8 14
0 21 -0 19 20
0 13 2211.87 20 26
44 48 1350.79 13 11
8 34 -0 15 20
27 51 1705.59 22 15
2 43 450.749 28 8
0 38 -0 12 28
16 48 516.975 6 21
3 46 1919.55 27 8
12 52 331.271 14 19
67 15 1073.29 18 17
52 24 52.6006 17 21
6 35 1902.55 29 9
30 36 209.551 13 21
68 24 1662.65 22 28
14 79 521.915 25 19
44 40 -0 28 28
51 32 -0 27 19
46 17 1344.57 19 16
67 20 -0 10 6
30 49 323.417 12 18
75 42 -0 14 0
7 39 1384.63 24 26
9 36 42 16 16
17 22 1259.06 33 12
67 49 3256.09 15 29
1 50 1624 11 30
1 44 274.066 18 11
3 34 672.769 17 27
4 29 1220.02 21 18
67 14 -0 27 10
48 45 1536.21 19 14
30 38 -0 20 37
44 51 101.882 5 37
44 45 2569.08 22 31
75 21 880.509 12 27
67 17 945.209 19 17
35 44 2219.71 22 22
67 36 2536.28 16 18
75 60 -0 7 11
1 48 1292.8 26 11
52 34 809.647 14 24
0 39 422.412 21 26
46 60 1151.83 24 16
30 62 -0 13 19
68 50 1770.99 15 16
6 29 1210.49 18 29
16 36 -0 11 22
73 60 516.362 28 13
38 51 -0 9 15
7 49 2438.44 37 30
0 6 108.046 30 24
75 9 -0 10 12
0 49 -0 8 13
20 58 -0 11 1
36 60 1328.64 3 15
26 34 -0 1 22
1 38 -0 6 22
6 35 45.0057 10 10
0 4 1622.38 20 6

Temps: 0.00 seconds
Valeur OPT: 17829.5
