262 500 500 116
69 77 3.85241 0 56
164 161 11.1425 6 25
251 112 15.4577 72 12
126 31 18.7357 93 19
164 82 20.3554 28 90
133 89 -0 5 2
116 54 15.3687 43 38
164 59 5.58836 1 36
118 50 18.1547 36 56
153 125 18.8643 53 83
126 119 24.3196 63 84
225 85 12.448 25 67
133 103 16.514 50 1
249 133 23.042 57 86
257 118 1.74159 1 8
146 88 18.6995 66 40
126 47 20.6206 37 83
78 150 7.15066 51 31
166 100 10.4432 47 18
185 81 26.3498 88 39
109 127 20.2513 75 96
138 94 14.6739 48 37
250 77 25.4197 40 99
120 95 17.4812 8 84
226 145 15.8538 69 11
246 50 27.2337 93 60
148 117 14.4847 29 90
116 97 3.37161 5 35
182 103 30.0468 53 93
97 122 8.72185 8 100
166 109 6.98689 24 0
5 144 18.8702 53 79
16 120 4.5877 13 39
215 109 7.48602 47 23
246 92 20.1904 57 65
208 114 10.5012 9 4
150 139 19.1752 74 79
126 58 25.5302 83 50
84 105 25.1681 96 44
135 76 10.7527 42 29
24 154 29.7637 80 48
109 142 6.49233 22 11
254 121 6.55054 56 18
116 66 7.27236 43 63
116 77 7.80705 12 8
208 110 20.9683 73 84
216 92 16.9756 32 75
225 131 6.02112 8 24
126 96 24.8485 79 85
133 101 17.7855 79 65
152 114 9.20901 4 43
162 121 7.04704 14 50
171 88 3.05182 17 69
215 137 11.9265 19 74
198 98 11.1012 44 4
56 132 1.61207 5 12
62 101 17.8572 37 80
225 98 18.4412 100 9
183 136 16.6301 62 62
171 80 13.1601 90 33
59 131 15.4742 57 44
90 117 8.47362 44 8
146 61 7.89382 37 53
216 93 12.6966 80 29
163 82 16.191 60 77
73 141 20.6288 95 5
80 134 22.6647 56 77
171 106 16.2547 56 14
209 115 22.497 9 98
118 59 19.0591 39 55
209 103 11.0991 15 54
252 165 10.5238 4 37
126 73 11.7924 58 28
166 77 24.3303 73 78
116 45 3.19372 5 5
169 81 4.88235 12 53
188 128 1.57731 3 0
93 132 24.6781 8 97
3 120 11.189 31 32
123 104 20.8689 48 45
254 125 8.22833 3 94
4 91 21.6934 52 72
157 81 25.4179 99 84
217 127 11.2893 29 39
123 57 6.04084 12 0
116 86 17.1515 50 70
151 146 19.9997 98 96
256 110 9.80774 4 79
50 134 9.48942 56 28
153 130 4.13771 24 42
5 115 10.9739 33 2
50 126 22.5999 45 88
169 111 32.6453 98 93
179 104 5.24264 4 3
151 143 15.4931 36 40
126 92 13.7333 72 10
126 69 13.0244 26 48
169 104 17.3524 71 72
257 116 12.4454 84 43
126 99 15.131 21 64
209 101 22.2856 99 59
125 108 17.2482 33 92
84 82 16.02 84 6
146 123 22.3316 74 80
126 48 28.3159 93 98
123 104 3.45363 25 8
3 160 23.3028 39 28
14 141 26.1487 42 99
99 111 22.6488 77 57
126 126 20.9337 68 42
20 135 12.3342 50 12
257 97 20.1159 42 79
8 66 24.9518 71 69
223 119 18.0933 85 57
251 102 17.1798 78 25
74 102 5.57739 64 19
-1 0 5.16729 5 29
98 133 32.4626 93 45
116 24 2.00885 18 5
184 128 14.6694 38 46
22 82 2.74898 29 0
248 146 10.6475 81 4
43 76 3.87304 4 24
118 26 2.32267 23 15
126 94 1.12014 11 0
64 92 21.5847 86 9
116 5 -0 2 3
146 160 18.5292 31 55
120 97 24.8709 54 87
49 125 27.0759 87 53
185 131 6.70195 17 18
225 107 14.4774 81 51
97 109 15.4577 72 36
126 87 1.90738 10 11
165 171 19.6974 50 53
116 53 3.87758 25 0
75 98 18.6808 71 85
96 107 26.733 85 57
116 83 17.5892 51 37
202 166 16.9549 29 72
164 72 23.5658 55 79
126 58 20.1102 45 56
68 118 20.1669 100 17
120 107 21.0023 38 93
246 124 11.3623 11 22
164 105 15.3747 82 25
123 45 19.8612 50 73
245 147 17.7566 39 2
114 112 2.17347 6 60
179 151 27.9918 87 71
64 128 18.1476 83 3
152 138 16.783 22 77
250 71 14.2594 24 58
251 117 14.9292 69 58
4 116 13.4206 97 15
70 139 21.7415 65 94
246 94 19.1055 97 75
62 73 22.9364 79 81
146 141 23.2026 79 19
6 159 25.1794 46 1
7 69 23.2221 52 74
179 96 8.98689 39 17
169 74 31.2522 94 76
224 70 20.5264 97 92
116 44 8.09272 18 24
123 76 2.85384 3 2
116 59 3.1624 23 0
126 134 10.7659 19 42
103 133 13.5255 40 49
116 61 17.1138 49 83
251 117 11.6123 96 22
181 69 15.9191 58 78
215 71 8.40896 15 19
207 119 10.9377 21 49
22 106 12.7792 56 81
135 121 17.761 67 26
146 95 10.0317 10 50
190 66 8.27511 36 52
85 125 22.1251 84 52
116 87 18.0658 59 82
199 87 17.5336 85 71
169 68 5.74414 60 0
126 82 5.92585 33 17
64 128 12.2094 62 4
152 111 11.6186 70 33
72 80 26.9515 79 99
164 100 12.9158 98 18
216 105 4.72546 99 3
116 80 12.1092 18 55
89 152 25.9741 55 100
116 38 15.722 75 10
5 103 25.7382 94 38
184 117 20.385 89 72
190 103 6.15318 13 58
43 128 12.5074 19 64
62 108 15.2773 19 68
236 98 19.481 90 89
42 126 3.83215 35 3
73 79 11.9593 76 15
250 62 8.11471 3 36
250 81 17.7058 11 56
123 127 23.153 98 4
231 150 15.6336 92 23
57 99 6.36431 1 36
166 86 3.16191 2 24
215 127 17.3691 63 31
83 134 18.3574 57 50
166 74 14.6946 50 14
246 49 28.8668 19 99
116 82 26.2306 24 97
41 144 7.03766 14 18
185 115 11.3223 18 47
22 134 22.3019 77 47
190 61 12.128 28 50
57 107 14.6242 72 1
126 27 18.7679 49 50
250 82 19.4598 58 87
123 109 26.7986 84 57
184 113 4.28136 58 6
75 93 6.36333 41 21
183 142 22.9569 98 85
129 134 21.777 77 19
126 89 24.1762 57 95
43 72 6.15776 39 0
116 63 19.2191 99 13
118 72 19.4293 83 73
75 102 20.0594 54 98
162 129 19.6845 86 22
73 129 2.1566 2 33
72 156 27.8232 14 98
148 122 21.0672 42 93
70 138 4.65576 14 13
99 121 21.1018 55 98
16 87 11.164 2 57
252 115 23.8929 18 98
241 94 7.75769 17 5
120 90 8.98736 22 56
62 66 6.46133 28 42
190 114 9.32037 3 29
259 119 20.5859 96 58
98 130 14.9965 53 62
225 83 -0 15 0
223 91 13.8786 36 51
6 70 16.7152 98 0
108 118 9.7447 78 21
181 132 21.9633 92 14
116 39 17.147 65 39
199 150 22.9676 64 41
153 139 18.6367 43 97
62 69 20.0052 50 86
116 40 11.1409 0 54
123 92 4.12429 0 14
209 100 18.3599 0 96
257 96 14.0576 0 50
223 96 6.94379 0 71
124 106 2.33409 0 63
188 84 3.89648 0 0
116 85 1.40975 0 0
59 132 6.50684 0 5
126 100 16.4306 0 66
